-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2025 in LST
Location: latitude  7.8731   longitude 80.7718 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 121.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
TS              MERRA-2 Earth Skin Temperature (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,TS,PRECTOTCORR,RH2M
2025,7,26,26.64,1.9,80.38
2025,7,27,27.26,0.13,76.22
2025,7,28,27.87,0.02,74.76
2025,7,29,28.94,0.02,74.57
2025,7,30,29.66,0.03,73.44
2025,7,31,27.98,0.05,79.22
2025,8,1,27.1,3.56,82.98
2025,8,2,26.73,4.81,83.66
2025,8,3,25.78,7.05,85.42
2025,8,4,27.13,1.76,82.44
2025,8,5,27.34,0.27,79.99
2025,8,6,28.0,0.32,78.29
2025,8,7,27.34,1.14,81.79
2025,8,8,27.99,0.35,78.79
2025,8,9,26.66,1.35,82.64
2025,8,10,27.52,0.23,80.67
2025,8,11,27.89,1.0,78.34
2025,8,12,26.84,2.26,76.42
2025,8,13,27.55,0.13,75.24
2025,8,14,28.09,0.14,77.15
2025,8,15,28.13,0.66,76.53
2025,8,16,26.92,0.95,81.44
2025,8,17,27.16,0.74,78.78
2025,8,18,27.24,1.2,79.84
2025,8,19,28.17,0.09,76.49
2025,8,20,28.74,0.0,72.96
2025,8,21,29.34,0.04,70.92
2025,8,22,27.96,0.33,77.75
2025,8,23,27.24,0.51,80.02
2025,8,24,28.58,0.05,76.38
2025,8,25,29.32,2.18,73.48
2025,8,26,28.38,1.55,76.49
2025,8,27,29.33,0.32,72.66
2025,8,28,27.98,0.44,77.07
2025,8,29,28.91,0.27,75.01
2025,8,30,28.83,0.11,70.27
2025,8,31,28.92,0.11,73.04
2025,9,1,29.0,0.06,74.87
2025,9,2,28.67,0.01,75.69
2025,9,3,28.87,0.48,75.12
2025,9,4,29.27,0.09,71.85
2025,9,5,29.63,0.06,71.8
2025,9,6,28.3,1.44,77.72
2025,9,7,28.19,1.88,77.68
2025,9,8,28.17,3.85,78.96
2025,9,9,28.38,7.0,79.6
2025,9,10,27.62,4.19,79.83
2025,9,11,28.58,1.24,76.35
2025,9,12,28.49,0.61,74.51
2025,9,13,29.46,0.62,71.15
2025,9,14,29.78,0.01,71.03
2025,9,15,28.95,0.07,73.47
2025,9,16,28.85,1.04,73.2
2025,9,17,28.46,22.02,79.1
2025,9,18,27.32,13.08,80.94
2025,9,19,27.11,3.99,82.49
2025,9,20,28.19,1.71,77.33
2025,9,21,28.22,1.54,77.56
2025,9,22,28.75,4.13,77.69
2025,9,23,28.39,0.69,75.32
2025,9,24,28.02,5.98,78.99
2025,9,25,26.6,6.64,77.27
2025,9,26,26.64,7.08,79.35
2025,9,27,27.5,6.02,79.41
2025,9,28,27.57,0.15,74.76
2025,9,29,27.34,0.05,82.6
2025,9,30,28.36,0.11,78.27
2025,10,1,28.37,0.0,77.8
2025,10,2,28.29,0.0,78.35
2025,10,3,28.34,0.37,78.35
2025,10,4,28.02,7.14,80.46
2025,10,5,27.29,10.16,77.8
2025,10,6,27.61,3.14,78.52
2025,10,7,27.12,2.5,82.28
2025,10,8,27.74,6.45,80.7
2025,10,9,27.33,7.03,80.72
2025,10,10,27.55,1.29,80.24
2025,10,11,28.54,1.3,77.71
2025,10,12,28.67,12.83,76.46
2025,10,13,28.4,14.85,81.09
2025,10,14,28.19,8.67,79.67
2025,10,15,26.87,20.34,84.45
2025,10,16,27.11,23.79,85.95
2025,10,17,26.34,41.5,89.35
2025,10,18,26.04,3.03,91.11
2025,10,19,26.43,33.52,88.31
2025,10,20,25.26,39.98,92.34
2025,10,21,24.43,29.16,93.55
2025,10,22,25.82,13.73,86.91
2025,10,23,25.22,14.38,93.9
2025,10,24,25.1,15.99,88.11
2025,10,25,25.36,3.9,90.71
2025,10,26,25.56,2.79,91.62
2025,10,27,25.32,1.51,90.29
2025,10,28,25.8,5.81,90.33
2025,10,29,26.33,1.43,87.67
2025,10,30,26.36,0.03,85.29
2025,10,31,26.87,0.02,82.14
2025,11,1,27.14,0.39,81.87
2025,11,2,26.31,0.83,86.41
2025,11,3,25.92,0.16,86.18
2025,11,4,26.27,0.15,87.82
2025,11,5,25.94,0.92,88.56
2025,11,6,25.84,8.53,86.56
2025,11,7,25.55,12.94,89.25
2025,11,8,25.51,9.36,84.53
2025,11,9,25.42,4.87,85.74
2025,11,10,25.84,1.09,84.88
2025,11,11,25.89,4.43,86.81
2025,11,12,25.66,5.92,88.76
2025,11,13,25.67,11.13,90.03
2025,11,14,25.15,16.62,90.5
2025,11,15,24.52,13.97,94.58
2025,11,16,25.28,9.4,92.45
2025,11,17,24.66,17.82,93.87
2025,11,18,24.99,16.04,91.72
2025,11,19,25.16,2.1,89.69
2025,11,20,24.81,6.97,93.24
2025,11,21,25.43,8.89,90.3
2025,11,22,25.53,30.74,90.68
2025,11,23,25.15,16.7,92.66
2025,11,24,24.7,46.28,94.68
2025,11,25,23.93,24.22,94.07
2025,11,26,24.3,123.9,93.38
2025,11,27,24.45,152.35,94.9
2025,11,28,23.48,80.15,94.82
2025,11,29,22.26,13.79,93.3
2025,11,30,23.8,2.65,90.71
2025,12,1,24.4,0.2,90.15
2025,12,2,24.43,0.17,86.94
2025,12,3,25.3,1.4,85.35
2025,12,4,25.27,3.1,90.2
2025,12,5,24.85,3.41,91.55
2025,12,6,25.14,0.96,90.09
2025,12,7,24.63,13.94,92.46
2025,12,8,24.43,4.33,91.04
2025,12,9,24.22,8.3,93.88
2025,12,10,24.43,6.59,92.83
2025,12,11,24.89,14.55,92.24
2025,12,12,24.68,7.82,90.99
2025,12,13,24.07,4.21,90.45
2025,12,14,23.45,3.16,89.59
2025,12,15,24.03,7.04,90.4
2025,12,16,24.69,10.82,93.34
2025,12,17,24.71,15.85,94.73
2025,12,18,24.14,18.37,91.32
2025,12,19,22.89,3.73,89.88
2025,12,20,22.47,0.35,87.09
2025,12,21,23.19,0.39,89.5
2025,12,22,23.58,0.31,88.77
2025,12,23,23.71,1.42,90.43
2025,12,24,23.26,1.17,90.14
2025,12,25,23.07,0.67,88.35
2025,12,26,22.81,0.23,86.36
2025,12,27,23.41,0.54,88.56
2025,12,28,23.83,3.16,90.98
2025,12,29,24.5,0.77,90.37
2025,12,30,24.95,3.37,91.31
2025,12,31,25.28,13.44,92.19
